Bundesland,Landessteuern_in_Mio_EUR_2019,Gemeindesteuern_in_Mio_EUR_2019,Gesamteinnahmen_in_Mio_EUR_2019,Flaeche,Einwohner_2020,Einwohner_2015,Einwohner_2010,Einwohner_2000,Einwohner_1990,Einwohner_1980,Einwohner_1970,Einwohner_1960
Baden-Württemberg,40785,16783,57568,"35.747,83",11.103.043,10.879.618,10.753.880,10.524.415,9.822.027,9.258.947,8.953.607,7.726.859
Bayern,48489,20537,69026,"70.541,57",13.140.183,12.843.514,12.538.696,12.230.255,11.448.823,10.928.151,10.561.110,9.494.939
Berlin,19727,5001,24727,"891,12",3.664.088,3.520.031,3.460.725,3.382.169,3.433.695,1.896.230,2.115.311,2.202.241
Brandenburg,10452,2466,12918,"29.654,43",2.531.071,2.484.826,2.503.273,2.601.962,2.578.312,,,
Bremen,3810,1072,4881,"419,37",680.130,671.489,660.706,660.225,681.665,693.846,735.452,704.287
Hamburg,8796,4505,13301,"755,09",1.852.478,1.787.408,1.786.448,1.715.392,1.652.363,1.645.095,1.793.640,1.836.958
Hessen,23832,10379,34211,"21.115,64",6.293.154,6.176.172,6.067.021,6.068.129,5.763.310,5.601.031,5.424.529,4.783.352
Mecklenburg-Vorpommern,6849,1346,8195,"23.295,22",1.610.774,1.612.362,1.642.327,1.775.703,1.923.959,,,
Niedersachsen,29723,9804,39526,"47.709,80",8.003.421,7.926.599,7.918.293,7.926.193,7.387.245,7.256.386,7.121.824,6.576.137
Nordrhein-Westfalen,66538,26067,92605,"34.112,44",17.925.570,17.865.516,17.845.154,18.009.865,17.349.651,17.058.193,17.004.851,15.852.476
Rheinland-Pfalz,15212,4916,20128,"19.858,00",4.098.391,4.052.803,4.003.745,4.034.557,3.763.510,3.642.482,3.658.932,3.411.170
Saarland,4133,1059,5192,"2.571,11",983.991,995.597,1.017.567,1.068.703,1.072.963,1.066.299,1.121.300,1.060.493
Sachsen-Anhalt,9396,1877,11273,"20.456,51",2.180.684,2.245.470,2.335.006,2.615.375,2.873.957,,,
Sachsen,16728,3749,20477,"18.449,93",4.056.941,4.084.851,4.149.477,4.425.581,4.764.301,,,
Schleswig-Holstein,11051,3502,14553,"15.800,54",2.910.875,2.858.714,2.834.259,2.789.761,2.626.127,2.611.285,2.510.608,2.309.409
Thüringen,8997,1838,10835,"16.202,35",2.120.237,2.170.714,2.235.025,2.431.255,2.611.319,,,